title,author,genres,synopsis,publisher,year,isbn,cover,url
John Adams,David McCullough,"['History', 'Biography', 'Nonfiction', 'American History', 'Presidents', 'Politics', 'Historical']","The enthralling, often surprising story of John Adams, one of the most important and fascinating Americans who ever lived.",Simon & Schuster Paperbacks,2001,9780743223133,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478144278i/2203.jpg,https://www.goodreads.com/book/show/2203.John_Adams
The Unhoneymooners,Christina Lauren,"['Romance', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Audiobook', 'Adult', 'Chick Lit']","Olive is always unlucky: in her career, in love, in…well, everything. Her identical twin sister Ami, on the other hand, is probably the luckiest person in the world. Her meet-cute with her fiancé is something out of a romantic comedy (gag) and she’s managed to finance her entire wedding by winning a series of Internet contests (double gag). Worst of all, she’s forcing Olive to spend the day with her sworn enemy, Ethan, who just happens to be the best man.",Gallery Books,2019,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1548201335i/42201431.jpg,https://www.goodreads.com/book/show/42201431-the-unhoneymooners
Becoming,Michelle Obama,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Autobiography', 'Politics', 'Biography Memoir']","In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. As First Lady of the United States of America—the first African American to serve in that role—she helped create the most welcoming and inclusive White House in history, while also establishing herself as a powerful advocate for women and girls in the U.S. and around the world, dramatically changing the ways that families pursue healthier and more active lives, and standing with her husband as he led America through some of its most harrowing moments. Along the way, she showed us a few dance moves, crushed Carpool Karaoke, and raised two down-to-earth daughters under an unforgiving media glare.",Crown,2018,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1528206996i/38746485.jpg,https://www.goodreads.com/book/show/38746485-becoming
"Red, White & Royal Blue",Casey McQuiston,"['Romance', 'LGBT', 'Contemporary', 'Fiction', 'Queer', 'Young Adult', 'New Adult']","First Son Alex Claremont-Diaz is the closest thing to a prince this side of the Atlantic. With his intrepid sister and the Veep’s genius granddaughter, they’re the White House Trio, a beautiful millennial marketing strategy for his mother, President Ellen Claremont. International socialite duties do have downsides—namely, when photos of a confrontation with his longtime nemesis Prince Henry at a royal wedding leak to the tabloids and threaten American/British relations. The plan for damage control: staging a fake friendship between the First Son and the Prince.",St. Martin's Griffin,2019,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566742512i/41150487.jpg,https://www.goodreads.com/book/show/41150487-red-white-royal-blue
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"['Nonfiction', 'True Crime', 'History', 'Religion', 'Crime', 'Audiobook', 'Cults']",A Story of Violent Faith,Pan MacMillan,2004,9780330419123,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356441391i/10847.jpg,https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven
The Viscount Who Loved Me,Julia Quinn,"['Romance', 'Historical Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Audiobook', 'Adult']","1814 promises to be another eventful season, but not, this author believes, for Anthony Bridgerton, London's most elusive bachelor, who has shown no indication that he plans to marry.",Avon,2006,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1379594308i/861326.jpg,https://www.goodreads.com/book/show/861326.The_Viscount_Who_Loved_Me
Homo Deus: A History of Tomorrow,Yuval Noah Harari,"['Nonfiction', 'History', 'Science', 'Philosophy', 'Audiobook', 'Anthropology', 'Sociology']","Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods.",Harper,2017,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468760805i/31138556.jpg,https://www.goodreads.com/book/show/31138556-homo-deus
Eclipse,Stephenie Meyer,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']","""BELLA?""","Little, Brown and Company",2007,9780316160209,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361038355i/428263.jpg,https://www.goodreads.com/book/show/428263.Eclipse
Stardust,Neil Gaiman,"['Fantasy', 'Fiction', 'Romance', 'Young Adult', 'Adventure', 'Audiobook', 'Magic']",Alternate cover edition can be found here,Harper Perennial,2006,9780061142024,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1459127484i/16793.jpg,https://www.goodreads.com/book/show/16793.Stardust
The Cruel Prince,Holly Black,"['Fantasy', 'Young Adult', 'Romance', 'Fae', 'Fiction', 'Young Adult Fantasy', 'Magic']",This is a previously published cover edition of ISBN 9780316310277. An alternative cover edition for this ISBN can be found here.,"Little, Brown Books for Young Readers",2018,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574535986i/26032825.jpg,https://www.goodreads.com/book/show/26032825-the-cruel-prince
Man's Search for Meaning,Viktor E. Frankl,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Self Help', 'Memoir', 'Biography']","Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. Man's Search for Meaning has become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living.",Beacon Press,2006,9780807014295,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1535419394i/4069.jpg,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
Icebreaker,Hannah Grace,"['Romance', 'Sports Romance', 'Sports', 'Contemporary', 'Hockey', 'Contemporary Romance', 'New Adult']",Anastasia Allen has worked her entire life for a shot at Team USA.,Pig & Bear Publishing,2022,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659045816i/61767292.jpg,https://www.goodreads.com/book/show/61767292-icebreaker
A Distant Mirror: The Calamitous 14th Century,Barbara W. Tuchman,"['History', 'Nonfiction', 'Medieval', 'European History', 'Medieval History', 'Historical', 'France']","The 14th century gives us back two contradictory images: a glittering time of crusades and castles, cathedrals and chivalry, and a dark time of ferocity and spiritual agony, a world plunged into a chaos of war, fear and the Plague. Barbara Tuchman anatomizes the century, revealing both the great rhythms of history and the grain and texture of domestic life as it was lived.",Random House Publishing Group,1987,9780345349576,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403200553i/568236.jpg,https://www.goodreads.com/book/show/568236.A_Distant_Mirror
The Art of War,Sun Tzu,"['Classics', 'Nonfiction', 'Philosophy', 'History', 'War', 'Politics', 'Business']","Twenty-Five Hundred years ago, Sun Tzu wrote this classic book of military strategy based on Chinese warfare and military thought. Since that time, all levels of military have used the teaching on Sun Tzu to warfare and civilization have adapted these teachings for use in politics, business and everyday life. The Art of War is a book which should be used to gain advantage of opponents in the boardroom and battlefield alike.",Harper Press,2005,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630683326i/10534.jpg,https://www.goodreads.com/book/show/10534.The_Art_of_War
Archer's Voice,Mia Sheridan,"['Romance', 'Contemporary', 'New Adult', 'Contemporary Romance', 'Fiction', 'Adult', 'Disability']","When Bree Prescott arrives in the sleepy, lakeside town of Pelion, Maine, she hopes against hope that this is the place where she will finally find the peace she so desperately seeks. On her first day there, her life collides with Archer Hale, an isolated man who holds a secret agony of his own. A man no one else sees.",Forever,2016,9781538727379,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656593818i/32822135.jpg,https://www.goodreads.com/book/show/32822135-archer-s-voice
Do Androids Dream of Electric Sheep?,Philip K. Dick,"['Science Fiction', 'Fiction', 'Classics', 'Dystopia', 'Cyberpunk', 'Science Fiction Fantasy', 'Fantasy']","It was January 2021, and Rick Deckard had a license to kill. Somewhere among the hordes of humans out there, lurked several rogue androids. Deckard's assignment--find them and then...""retire"" them. Trouble was, the androids all looked exactly like humans, and they didn't want to be found!",Ballantine Books,2008,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507838927i/36402034.jpg,https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep
The Glass Castle,Jeannette Walls,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult']",THE #1 NEW YORK TIMES BESTSELLER,Scribner,2006,9780743247542,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1523542886i/7445.jpg,https://www.goodreads.com/book/show/7445.The_Glass_Castle
"Thinking, Fast and Slow",Daniel Kahneman,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Philosophy', 'Audiobook']","In the highly anticipated Thinking, Fast and Slow, Kahneman takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. Kahneman exposes the extraordinary capabilities—and also the faults and biases—of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. The impact of loss aversion and overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the challenges of properly framing risks at work and at home, the profound effect of cognitive biases on everything from playing the stock market to planning the next vacation—each of these can be understood only by knowing how the two systems work together to shape our judgments and decisions.","Farrar, Straus and Giroux",2011,9780374275631,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1317793965i/11468377.jpg,https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow
